"","PRAD","THCA","KICH","BRCA","KIRP","KIRC","READ","COAD","BLCA","STAD","PCPG","UCEC","LUAD","HNSC","CESC","GBM","ESCA","LUSC","LIHC","CHOL"
"PFKFB1",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
"PRKCD",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
"PRKCI",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
"PRKCZ",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
"PRKY",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
"ROR2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
"SRPK3",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
"STK17A",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
"STK32B",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
"TGFBR1",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
"TSSK3",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"TYRO3",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"WNK4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
"ZAP70",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"AATK",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"ABL2",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
"AXL",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"BTK",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"CDK18",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"CSF1R",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"DCLK2",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"DGUOK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
"EPHA1",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
"EPHA3",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"EPHA4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"GALK1",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
"GCK",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
"GRK3",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
"GRK7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
"GUCY2C",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
"IGF1R",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
"IRAK2",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
"MAK",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"MAP2K6",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
"MAP3K10",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"MAPK11",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"MAPKAPK2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"MOK",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
"NME3",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"NMRK2",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
